invoice_id,contract_id,reference_month,issue_date,due_date,energy_consumed_kwh,energy_compensated_kwh,gross_amount_brl,discount_amount_brl,net_amount_brl,status,paid_at,source_updated_at,extracted_at,batch_id
INV-000751,CONTRACT-000001,2026-08-01,2026-09-01,2026-09-10,1008.5,1008.5,1002.99,125.27,877.72,PAID,2026-09-08T13:00:00Z,2026-09-01T08:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
INV-000752,CONTRACT-000002,2026-08-01,2026-09-01,2026-09-10,674.72,585.56,689.24,96.56,592.68,PAID,2026-09-08T13:00:00Z,2026-09-01T08:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
INV-000753,CONTRACT-000003,2026-08-01,2026-09-01,2026-09-10,401.08,267.16,432.02,45.36,386.66,OPEN,NULL,2026-09-01T08:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
INV-000754,CONTRACT-000004,2026-08-01,2026-09-01,2026-09-10,1375.56,876.79,1348.03,171.87,1176.16,PAID,2026-09-08T13:00:00Z,2026-09-01T08:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
INV-000755,CONTRACT-000005,2026-08-01,2026-09-01,2026-09-10,582.38,569.86,602.44,119.52,482.92,PAID,2026-09-08T13:00:00Z,2026-09-01T08:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
INV-000756,CONTRACT-000006,2026-08-01,2026-09-01,2026-09-10,477.29,404.44,503.65,93.63,410.02,OPEN,NULL,2026-09-01T08:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
INV-000757,CONTRACT-000007,2026-08-01,2026-09-01,2026-09-10,446.63,442.84,474.83,71.08,403.75,OPEN,NULL,2026-09-01T08:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
INV-000758,CONTRACT-000008,2026-08-01,2026-09-01,2026-09-10,225.35,202.72,266.83,42.69,224.14,PAID,2026-09-08T13:00:00Z,2026-09-01T08:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
INV-000759,CONTRACT-000009,2026-08-01,2026-09-01,2026-09-10,465.27,405.6,492.35,85.87,406.48,PAID,2026-09-08T13:00:00Z,2026-09-01T08:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
INV-000760,CONTRACT-000010,2026-08-01,2026-09-01,2026-09-10,680.57,524.07,694.74,76.63,618.11,PAID,2026-09-08T13:00:00Z,2026-09-01T08:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
