generation_id,plant_id,generation_date,generated_energy_kwh,expected_energy_kwh,availability_rate,measurement_status,source_updated_at,extracted_at,batch_id
GEN-PLANT-001-2026-08-01,PLANT-001,2026-08-01,5409.31,6380,0.9292,FINAL,2026-08-02T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-002-2026-08-01,PLANT-002,2026-08-01,8297.31,9240,0.9809,FINAL,2026-08-02T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-003-2026-08-01,PLANT-003,2026-08-01,3954.65,4312,0.9572,FINAL,2026-08-02T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-004-2026-08-01,PLANT-004,2026-08-01,9949.9,10850,0.9617,FINAL,2026-08-02T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-005-2026-08-01,PLANT-005,2026-08-01,18776.34,19840,0.9587,FINAL,2026-08-02T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-006-2026-08-01,PLANT-006,2026-08-01,5533,5544,0.9676,FINAL,2026-08-02T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-007-2026-08-01,PLANT-007,2026-08-01,7284.65,8272,0.9799,FINAL,2026-08-02T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-008-2026-08-01,PLANT-008,2026-08-01,1891.27,2200,0.9329,FINAL,2026-08-02T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-001-2026-08-02,PLANT-001,2026-08-02,5672.18,6380,0.921,FINAL,2026-08-03T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-002-2026-08-02,PLANT-002,2026-08-02,8239.1,9240,0.9946,FINAL,2026-08-03T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-003-2026-08-02,PLANT-003,2026-08-02,4064.53,4312,0.9173,FINAL,2026-08-03T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-004-2026-08-02,PLANT-004,2026-08-02,10187.53,10850,0.9665,FINAL,2026-08-03T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-005-2026-08-02,PLANT-005,2026-08-02,16754.41,19840,0.9349,FINAL,2026-08-03T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-006-2026-08-02,PLANT-006,2026-08-02,4813.49,5544,0.9849,FINAL,2026-08-03T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-007-2026-08-02,PLANT-007,2026-08-02,7382.1,8272,0.9774,FINAL,2026-08-03T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-008-2026-08-02,PLANT-008,2026-08-02,2053.05,2200,0.9129,FINAL,2026-08-03T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-001-2026-08-03,PLANT-001,2026-08-03,6615.35,6380,0.9811,FINAL,2026-08-04T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-002-2026-08-03,PLANT-002,2026-08-03,8874.21,9240,0.926,FINAL,2026-08-04T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-003-2026-08-03,PLANT-003,2026-08-03,4447.03,4312,0.9885,FINAL,2026-08-04T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-004-2026-08-03,PLANT-004,2026-08-03,8804.97,10850,0.9146,FINAL,2026-08-04T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-005-2026-08-03,PLANT-005,2026-08-03,19915.83,19840,0.9768,FINAL,2026-08-04T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-006-2026-08-03,PLANT-006,2026-08-03,5078.38,5544,0.946,FINAL,2026-08-04T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-007-2026-08-03,PLANT-007,2026-08-03,7944.74,8272,0.9892,FINAL,2026-08-04T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
GEN-PLANT-008-2026-08-03,PLANT-008,2026-08-03,1895.4,2200,0.9311,FINAL,2026-08-04T06:00:00Z,2026-09-01T10:00:00Z,batch-20260901-001
